id,type,classification,road_segment_type,duration,street_name_full,line_weight,route_coming_soon,construction_year,geometry_line
1345,OFF ROAD,Shared Trail,,249,,1,false,,"MULTILINESTRING ((-113.61106244429817 53.48033079216278, -113.61113846626884 53.48035071493991, -113.61121922004736 53.480380831645874, -113.61122931120993 53.48038459391708, -113.61123435988073 53.48038647506239, -113.61146235574206 53.480460755097326))"
1346,OFF ROAD,Shared Trail,,551,,1,false,,"MULTILINESTRING ((-113.61146235574206 53.480460755097326, -113.61162760865462 53.48049319149641, -113.61182929643542 53.48051509202974, -113.6120240173479 53.48054358826574, -113.61206538955078 53.480549821605706, -113.6121236907329 53.48055860108424, -113.612229808282 53.48057626597651, -113.61245164024918 53.480615411321004, -113.61267629475583 53.48063637145788, -113.61289063047862 53.48065821537053, -113.61308674265862 53.480686725434346, -113.61327788291875 53.48071715751498, -113.61348788203881 53.48074040513346, -113.61358355799149 53.48075419873718))"
1347,OFF ROAD,Shared Trail,,325,,1,false,,"MULTILINESTRING ((-113.61358355799149 53.48075419873718, -113.61369939090866 53.48077090240886, -113.61374653352537 53.48078124441344, -113.61375376584992 53.48078283032093, -113.6138663502942 53.480809631896136, -113.61405792542176 53.48085693876311, -113.61425334723309 53.480911344419276, -113.61430683730198 53.480929596748865))"
1348,OFF ROAD,Shared Trail,,437,,1,false,,"MULTILINESTRING ((-113.60957429091285 53.480110863032074, -113.60963933403718 53.48010719863964, -113.60969771811209 53.48012096199605, -113.60992927225696 53.480167871694064, -113.61014371228926 53.48019814530017, -113.6103539356103 53.48022342972272, -113.61053481402693 53.48024334828358, -113.6106807806936 53.48026335185283, -113.61083455861153 53.48028513115955, -113.61098642239892 53.48031086933736, -113.61106244429817 53.48033079216278))"
1349,OFF ROAD,Shared Trail,,1352,,1,false,,"MULTILINESTRING ((-113.61430683730198 53.480929596748865, -113.61436654820055 53.48093427065821, -113.61446145493149 53.48094644694851, -113.61459918557193 53.480932238722936, -113.61469544511404 53.48090693679865, -113.61485359228931 53.480849909172356, -113.61498525641454 53.480811059985356, -113.61512887971534 53.480798270517006, -113.61514636504485 53.48079671269573, -113.61532734260112 53.480825992147516, -113.61549733324215 53.48085967667082, -113.61564995633636 53.48085388796937, -113.615830975182 53.48082463441378, -113.61602532442386 53.480796215734834, -113.6162015277485 53.480771335246395, -113.61637149632286 53.480745196251306, -113.61655685995792 53.48071838778954, -113.61676330316747 53.48070795374165, -113.61697564707067 53.48070428220359, -113.6171835731434 53.4806972425861, -113.61739260802817 53.48069673268414, -113.617595496359 53.48070166424849, -113.6178081541889 53.48070773227651, -113.61801368773337 53.48074075666287, -113.61821963500608 53.48078484873683, -113.61839911460656 53.48082225203278, -113.61854953142718 53.48089156108158, -113.61866661936479 53.480969740802664, -113.61878646806841 53.48106666487792, -113.61889664868131 53.4811691116305, -113.61899196569678 53.481268091010904, -113.61907802462541 53.48135232571871, -113.61910769775811 53.48138818535857, -113.61913376519317 53.48141000017903, -113.61918460416348 53.481435534923975))"
1350,OFF ROAD,Shared Trail,,777,,1,false,,"MULTILINESTRING ((-113.58842024996706 53.48059941360807, -113.58855219605846 53.48061941435873, -113.588645872275 53.48065131551125, -113.58873674233392 53.480677623817385, -113.58882670967034 53.48068612931021, -113.58887018967411 53.48068296587055, -113.58891366345811 53.480679806078896, -113.58898914466188 53.48065879456025, -113.58905145300024 53.480635375471, -113.58907853929364 53.480619157795715, -113.58931495439572 53.48050098922639, -113.5894051477194 53.4804758231568, -113.58948877846902 53.48045913629319, -113.58954771386593 53.48044780026958, -113.58967418177195 53.48042601999431, -113.58978158620675 53.480405990970354, -113.58986321864856 53.480374836161694, -113.58993383096721 53.4803364941496, -113.58997583635458 53.48029528266684, -113.59000060706424 53.48027119993776))"
1351,OFF ROAD,Shared Trail,,287,,1,false,,"MULTILINESTRING ((-113.58807938211827 53.48068625350131, -113.58826559422448 53.48065914909062, -113.5882752697884 53.480654586946756, -113.58830252962021 53.480623665995275, -113.58831612063699 53.480612222278886, -113.58832772359727 53.48060767045511, -113.58842024996706 53.48059941360807))"
1352,OFF ROAD,Shared Trail,,210,,1,false,,"MULTILINESTRING ((-113.58809956016138 53.48053307662923, -113.58818890064714 53.48054119717921, -113.58832746403195 53.48056172954056, -113.58840002901267 53.480580965751415, -113.58842024996706 53.48059941360807))"
1353,OFF ROAD,Shared Trail,,96,,1,false,,"MULTILINESTRING ((-113.58967680461609 53.480332822278456, -113.59000060706424 53.48027119993776))"
1354,OFF ROAD,Shared Trail,,472,,1,false,,"MULTILINESTRING ((-113.59000060706424 53.48027119993776, -113.59014166697236 53.48023589285529, -113.59022821912023 53.48020317370687, -113.59029047480256 53.48016904821157, -113.5904059656727 53.48010726694696, -113.59069834574856 53.48000382564266, -113.59088412089567 53.47993303468197, -113.5910328796659 53.47986977467038, -113.59123227181955 53.47976982435153, -113.5918110572226 53.47951627636503, -113.59190902061582 53.4794760918538, -113.59196773626005 53.479456543204876))"
